comune,mese,tot_rsu
ALLISTE,2016-01-01,30.35323165815641
ALLISTE,2016-02-01,29.694386589626436
ALLISTE,2016-03-01,30.140083310937918
ALLISTE,2016-04-01,31.105549583445303
ALLISTE,2016-05-01,31.649506181134104
ALLISTE,2016-06-01,35.23044880408492
ALLISTE,2016-07-01,41.10890889545821
ALLISTE,2016-08-01,50.18157081429723
ALLISTE,2016-09-01,50.196687718355285
ALLISTE,2016-10-01,45.08112738511153
ALLISTE,2016-11-01,35.73736898683149
ALLISTE,2016-12-01,32.13198736898683
ALLISTE,2017-01-01,29.939028486965867
ALLISTE,2017-02-01,29.910810266057506
ALLISTE,2017-03-01,30.67874899220639
ALLISTE,2017-04-01,31.771197258801397
ALLISTE,2017-05-01,33.347386455253954
ALLISTE,2017-06-01,35.716709217952165
ALLISTE,2017-07-01,42.553581026605755
ALLISTE,2017-08-01,50.162422735823704
ALLISTE,2017-09-01,51.646398817522176
ALLISTE,2017-10-01,46.062214458478905
ALLISTE,2017-11-01,37.05253963988174
ALLISTE,2017-12-01,32.00450147809728
ALLISTE,2018-01-01,31.374630475678575
ALLISTE,2018-02-01,30.586535877452295
ALLISTE,2018-03-01,32.07534936844934
ALLISTE,2018-04-01,32.33779897876914
ALLISTE,2018-05-01,35.13423474872346
ALLISTE,2018-06-01,39.37372010212308
ALLISTE,2018-07-01,44.54025463585058
ALLISTE,2018-08-01,53.590986965869384
ALLISTE,2018-09-01,54.58819873689868
ALLISTE,2018-10-01,52.346613813491
ALLISTE,2018-11-01,44.810434023112066
ALLISTE,2018-12-01,39.377569873689865
ALLISTE,2019-01-01,36.338467481859716
ALLISTE,2019-02-01,33.03038497715667
ALLISTE,2019-03-01,34.80359782316581
ALLISTE,2019-04-01,34.83987839290513
ALLISTE,2019-05-01,37.08070747110992
ALLISTE,2019-06-01,37.66825114216608
ALLISTE,2019-07-01,43.2877082773448
ALLISTE,2019-08-01,44.121153587745226
ALLISTE,2019-09-01,42.97151303413061
ALLISTE,2019-10-01,38.35103130878796
ALLISTE,2019-11-01,37.58863544746036
ALLISTE,2019-12-01,37.355230448804086
ALLISTE,2020-01-01,35.26733404998656
ALLISTE,2020-02-01,31.976384036549312
ALLISTE,2020-03-01,31.349737973662993
ALLISTE,2020-04-01,31.514260279494756
ALLISTE,2020-05-01,32.50466944369793
ALLISTE,2020-06-01,32.604944907282984
ALLISTE,2020-07-01,35.91060870733673
ALLISTE,2020-08-01,43.321015855952695
ALLISTE,2020-09-01,44.79037893039505
ALLISTE,2020-10-01,41.919174952969634
ALLISTE,2020-11-01,34.36198266595001
ALLISTE,2020-12-01,31.903369389948935
ALLISTE,2021-01-01,30.225393039505505
ALLISTE,2021-02-01,28.73662993818866
ALLISTE,2021-03-01,28.527361596345063
ALLISTE,2021-04-01,29.95439733942488
ALLISTE,2021-05-01,32.543671056167696
ALLISTE,2021-06-01,34.74192085460897
ALLISTE,2021-07-01,39.74360051061542
ALLISTE,2021-08-01,48.0820847890352
ALLISTE,2021-09-01,49.58571284600914
ALLISTE,2021-10-01,44.72134506852996
ALLISTE,2021-11-01,36.70409500134372
ALLISTE,2021-12-01,33.51190876108573
ALTAMURA,2014-03-01,30.55609161545884
ALTAMURA,2014-04-01,31.09123457417094
ALTAMURA,2014-05-01,33.38377939160023
ALTAMURA,2014-06-01,34.08689248895435
ALTAMURA,2014-07-01,34.65937642831751
ALTAMURA,2014-08-01,33.689263178609515
ALTAMURA,2014-09-01,34.33419614290793
ALTAMURA,2014-10-01,34.6007535168351
ALTAMURA,2014-11-01,34.73091609110761
ALTAMURA,2014-12-01,33.54398424407089
ALTAMURA,2015-01-01,33.354927377989945
ALTAMURA,2015-02-01,31.908665443603677
ALTAMURA,2015-03-01,31.92152030115281
ALTAMURA,2015-04-01,31.564245721395565
ALTAMURA,2015-05-01,33.41029848661825
ALTAMURA,2015-06-01,34.06556294753948
ALTAMURA,2015-07-01,34.30523462495556
ALTAMURA,2015-08-01,33.405823091767815
ALTAMURA,2015-09-01,33.01413082118735
ALTAMURA,2015-10-01,33.03341310751105
ALTAMURA,2015-11-01,33.40698002894723
ALTAMURA,2015-12-01,33.44373539942106
ALTAMURA,2016-01-01,32.887005802143115
ALTAMURA,2016-02-01,32.228203874866686
ALTAMURA,2016-03-01,31.903623482809405
ALTAMURA,2016-04-01,32.50386915342034
ALTAMURA,2016-05-01,33.14276985678736
ALTAMURA,2016-06-01,34.1338508074755
ALTAMURA,2016-07-01,33.63070216088568
ALTAMURA,2016-08-01,33.529705830074654
ALTAMURA,2016-09-01,33.02750939515515
ALTAMURA,2016-10-01,33.41848750698289
ALTAMURA,2016-11-01,33.49071276217561
ALTAMURA,2016-12-01,33.287891676400385
ALTAMURA,2017-01-01,32.209321517444515
ALTAMURA,2017-02-01,31.212213066883347
ALTAMURA,2017-03-01,31.240684195825505
ALTAMURA,2017-04-01,31.302816007312988
ALTAMURA,2017-05-01,33.22237951348332
ALTAMURA,2017-06-01,33.016749403280684
ALTAMURA,2017-07-01,33.73834492915545
ALTAMURA,2017-08-01,32.544081052257376
ALTAMURA,2017-09-01,32.50660200091412
ALTAMURA,2017-10-01,32.304199888273835
ALTAMURA,2017-11-01,32.42313112589508
ALTAMURA,2017-12-01,32.13995289726271
ALTAMURA,2018-01-01,32.384671296531415
ALTAMURA,2018-02-01,31.234399598801485
ALTAMURA,2018-03-01,31.786301482910975
